Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"GOBAK, KAMA HOSEA; DAVID, ALHASSAN IKO; EMILY, IDUSERI O; ANDY, IYAKWO AUDU; HEMBE, NANEN D; ","EXAMINE SEASONAL VARIATIONS OF DISEASE INCIDENCE IN THE FEDERAL CAPITAL TERRITORY (FCT), NIGERIA","Journal of Health, Metabolism and Nutrition Studies",,,,2024,
"Kelle, Henrietta Ijeoma; Chukwu, Maureen Nkemdilim; Iduseri, Emily Osa; Ogoko, Emeka Chima; Timothy, Rawlings Abem; ",Absorption studies of some agricultural solid wastes as biosorbent for the clean-up of oil spill,Communication in Physical Sciences,11,4,641-653,2024,
"Iduseri, Emily Osa; ",THE IMPACT OF FUELWOOD HARVESTING ON BIODIVERSITY LOSS: THE IMPLICATIONS FOR SUSTAINABLE DEVELOPMENT: A CASE STUDY OF BENIN ENVIRONS,Sokoto Journal of Geographical Studies,2,1,94-110,2025,
"AGBEBAKU, HENRY USIOBAIFO; IDUSERI, EMILY O; KAMA, GOBAK HOSEA; ","AN ASSESSMENT OF THE EFFECTS OF SOLID WASTE MANAGEMENT ON ENVIRONMENTAL QUALITY IN BENIN CITY, EDO STATE, NIGERIA",,,,,2021,
"Bassey¹, Inemesit Ndarake; Enyiukwu, David Nwazuo; Toby¹, Abiasiama Toby; Osa, Iduseri Emily; Nneke⁴, Nneke Essien; ",Water Quality and Associated Aquatic Fungi in Selected Wetland Ecosystems in Southern Nigeria: Potential Implications for Food Safety and Public Health.,European Journal of Biology,84,2,149-159,2025,European Journal of Biology
"Iduseri, Emily O; ",Crime as a Threat to National Security,Unilag Journal of Humanities,6,2,103-115,2018,
"Elegbede, Isa Olalekan; Ojewole, Akinloye Emmanuel; Ipole, Ene; Nwaichi, Eucharia Oluchi; Iduseri, Emily Oluchi; Oluwatayo, Matti-Sanni Rukayat; ",Integrated Quality and Environmental Management,Encyclopedia of Sustainable Management,,,1993-2000,2023,Springer
"Elegbede, Isa Olalekan; Osa, Iduseri Emily; Toheeb, Jolaosho; Matti-Sanni, Rukayat Oluwatayo; Oladoyinbo, Wuraola; Aregbeshola, Abdul Aziz; Victoria, Ogabi; Ortiz, Cristhian Chicaiza; ",Life cycle sustainability assessment,Encyclopedia of Sustainable Management,,,2243-2253,2023,Springer
"Omokpariola, Daniel; Nduka, John; Kelle, Henrietta; Mgbemena, MaryAnn; Iduseri, Emily; ","Chemometrics, Health Risk Assessment and Probable Sources of Total Petroleum Hydrocarbons in Atmospheric Rainwater in Rivers State, Nigeria.",,,,,2021,
"Iduseri, Emily O; ",Assessment of Renewable Energy and its Role for Sustainable Development in Nigeria,Kaduna Journal of Geography,5,2,32-48,2023,
"Elegbede, Isa Olalekan; Matti-Sanni, Rukayat Oluwatayo; Moriam, Obalola; Emily Osa, Iduseri; ",Sustainability education and environmental awareness,Encyclopedia of sustainable management,,,3270-3277,2023,Springer
"Elegbede, Isa Olalekan; Hotaiba, Amira M; Adewale, Adebola Rashidat; Saba, Abdulwakil Olawale; Akintola, Shehu; Iduseri, Emily Osa; Rahamon, Abdul; ",Wetland Ecosystems in Nigeria,"Wetlands of Tropical and Subtropical Asia and Africa: Biodiversity, Livelihoods and Conservation",317,,,2025,John Wiley & Sons
"Iduseri, Emily O; Awoniran, Dauda R; Izunobi, Josephat U; Abdulrasheed, Taiwo H; Abbas, Idowu I; Olawole, Moses O; ","Sustainable development goals, governance and assessment of the impact of urban growth on vegetation cover in Benin City, Nigeria, using land-use–land-cover change trajectories",Discover Sustainability,5,1,291,2024,Springer
"Iduseri, Emily O; Abbas, Idowu I; Izunobi, Josephat U; ","Role of sustainable development goals in combating youth unemployment: A case study of the Federal Capital Territory (FCT) Abuja, Nigeria",Journal of sustainable Development,15,3,125-146,2022,Canadian Center of Science and Education
"Ari, Hadiza Abdullahi; Aliyu, Adetutu O; Alani, Olushola A; Ugya, Adamu Yunusa; Iduseri, Emily O; Runde, Musa; Abdullahi, Makiyyu Musa; ",Enhanced tetracycline degradation using UV/Fenton/titanium dioxide (TiO2) hybrid process,Desalination and Water Treatment,320,,100819,2024,Elsevier
"Iduseri, Emily O; Izunobi, Josephat U; Oyelami, Oyewole A; ","Sustainable development goal 2 (SDG-2) and the challenges of transporting agricultural produce: a case study of esan-west local government area of edo state, Nigeria",African Geographical Review,42,5,505-514,2023,Taylor & Francis
"Elegbede, Isa Olalekan; Hotaiba, Amira M; Adewale, Adebola Rashidat; Saba, Abdulwakil Olawale; Akintola, Shehu; Iduseri, Emily Osa; Olodo, Abdul Rahamon; Ositimehin, Kehinde Moyosola; ","Wetland ecosystems in Nigeria: Ecological significance, carbon sequestration potential, and conservation challenges","Wetlands of Tropical and Subtropical Asia and Africa: Biodiversity, Livelihoods and Conservation",,,317-339,2025,Wiley Online Library
"Mafiana, Chiedu F; Izunobi, Josephat U; Iduseri, Emily O; Abbas, Idowu I; Kama, Hosea G; ","Sustainable development goals and effects of Land-Use–Land-Cover (LULC) changes on vegetation using Kubanni River Basin, Zaria, Nigeria as a case-in-point",Ecohydrology & Hydrobiology,,,100694,2025,Elsevier
"Iduseri, Emily O; ","PERCEPTION OF FAMILY PLANNING AMONG RURAL WOMEN IN ESAN LAND OF EDO STATE, NIGERIA",Journal of Environmental Studies,2,3 4,114-120,2018,"Ambrose Alli University, Ekpoma"
"Nduka, John Kanayochukwu; Omokpariola, Daniel Omeodisemi; Kelle, Henrietta Ijeoma; Iduseri, Emily Osa; Mgbemena, MaryAnn Nkoli; ","Chemometric and risk assessment of nitrogen composition of atmospheric rainwater from diverse surfaces in Rivers State, Nigeria",Environmental monitoring and assessment,194,11,807,2022,Springer
"Olalekan, Elegbede Isa; Emily, Iduseri; Toheeb, Jolaosho; Rukayat, Matti-Sanni; Oladoyinbo, Wuraola; Aregbeshola, Abdul Aziz; Victoria, Ogabi; Ortiz, Cristhian Chicaiza; ",Life cycle sustainability assessment,Encyclopedia of Sustainable Management,,,1-11,2023,Springer
"Omokpariola, Daniel Omeodisemi; Nduka, John Kanayochukwu; Kelle, Henrietta Ijeoma; Mgbemena, Nkoli MaryAnn; Iduseri, Emily Osa; ","Chemometrics, health risk assessment and probable sources of soluble total petroleum hydrocarbons in atmospheric rainwater, Rivers State, Nigeria",Scientific Reports,12,1,11829,2022,Nature Publishing Group UK London
"Iduseri, EO; Abbas, II; Izunobi, JU; Ogedegbe, SO; Ogbonna, DO; ","Access to Safe Drinking Water in Developing Countries: A Comparative Analysis of the Urban and Rural Areas of Zaria, Kaduna State, Nigeria.",Journal of Applied Sciences & Environmental Management,25,11,,2021,
"Abu, RD; Abu, GO; Gajere, EN; Iduseri, EO; Oke, MO; Songu, GA; Sajo, J; ","Assessment of Water, Sanitation and Hygiene Practices of Households in Balanga North, Gombe, Nigeria",Osun Geographical Review,4,1,,2021,
"Abu, RD; Abu, GO; Iduseri, EO; Gideon, D; Olaoye, GS; ","A performance assessment of the Lagos state waste management authority (LAWMA) in refuse man-agement in Lagos Island, Nigeria",,,,,,
